0,word_count
peapod,1
pecan,1
peculiar,1
peep,1
pelligrino,1
yeaaaa,1
x,1
pepper,1
win,1
plural,1
wilted,1
proofed,1
pride,1
watching,1
process,1
produced,1
watch,1
project,1
washing,1
promise,1
promote,1
promptly,1
proof,1
properly,1
previous,1
proscuito,1
proscuitto,1
prospect,1
provides,1
ps:,1
public,1
puffs,1
pulling,1
wash,1
warren,1
purchased,1
pricing,1
wed,1
willing,1
praline,1
policy,1
whopping,1
polling,1
who've,1
popped,1
popping,1
poppyseed,1
whenever,1
possibly,1
post,1
powerless,1
wet,1
presentation,1
pre-made,1
pre-prepared,1
pre-workout,1
western,1
precise,1
preferred,1
weird,1
prepare,1
prepared,1
wednesday,1
preparing,1
rated,1
steady,1
value,1
sides,1
tangent,1
simplicity,1
tangier,1
tantalizing,1
significantly,1
tarts,1
sigh,1
taste-test,1
talkative,1
tasteless,1
showing,1
should-be,1
should've,1
short,1
tastyi,1
tax,1
tall,1
single,1
swallowing,1
skipping,1
swearing,1
sweeter,1
slooowwwwwwwww,1
sweetest,1
swoon,1
slash,1
slapped,1
skip,1
sitcom,1
skimpy,1
swooned,1
skimming,1
skeptical,1
sized,1
syrupy,1
situation,1
taxes,1
shops,1
shopping,1
series,1
serving,1
service4,1
textured,1
textureless,1
thankfully,1
server,1
that'll,1
semi-regular,1
shmm,1
semi-crunch,1
semester,1
thinks,1
sellers,1
third,1
self-absorbed,1
thoroughly,1
servings,1
sesame,1
sessions,1
setting,1
teas,1
shitcronuts,1
shit,1
shift,1
shelves,1
temperature,1
shelf,1
tempted,1
tend,1
shed,1
terms,1
shame,1
setup,1
texturally,1
settled,1
smaller,1
smelled,1
rating,1
specifically,1
spoken,1
spoke,1
splurge,1
strawberries,1
stream,1
spending,1
spell,1
specific,1
spread,1
stripper,1
special:,1
spaniards,1
spaniard,1
struck,1
sour,1
sounds,1
strange,1
straightforward,1
surprised,1
starbucks',1
stayed,1
steal,1
statement,1
state,1
stepped,1
steps,1
start,1
stone,1
straight,1
staple,1
stank,1
standing,1
store's,1
storefronts,1
staffers,1
stores,1
sound,1
sorts,1
sorted,1
sun,1
suggest,1
suggesting,1
summarizebad,1
soaked,1
snobby,1
snobbery,1
snaking,1
smote,1
sorry,1
smoky,1
sundays,1
smiley,1
smile,1
support,1
surely,1
surprise,1
softer,1
softness,1
sucks,1
suck,1
struggle,1
sophisticated,1
soothing,1
stuffy,1
stupid,1
sub-par,1
substances,1
soooooo,1
substantial,1
soo,1
somewhere,1
subtleness,1
suburbs,1
subway,1
someone,1
selected,1
thoughtful,1
three,1
rely,1
reopen,1
renovated,1
remarkably,1
