,event_date,event_link,event_time,event_title
0,2016-08-22,https://www.lyceechicago.org/calendar/back-to-school-prep-for-staff,(All day),Back to School Prep for New Teachers
1,2016-08-23,https://www.lyceechicago.org/calendar/back-to-school-prep-for-staff,(All day),Back to School Prep for New Teachers
2,2016-08-24,https://www.lyceechicago.org/calendar/back-to-school-prep-for-all-staff-0,(All day),Back to School Prep for All Staff
3,2016-08-25,https://www.lyceechicago.org/calendar/back-to-school-prep-for-all-staff-0,(All day),Back to School Prep for All Staff
4,2016-08-26,https://www.lyceechicago.org/calendar/back-to-school-prep-for-all-staff-0,(All day),Back to School Prep for All Staff
5,2016-08-29,https://www.lyceechicago.org/calendar/welcome-day,(All day),Welcome Day
6,2016-08-30,https://www.lyceechicago.org/calendar/school-opens-for-1st-12th-grade-0,(All day),School Opens for 1st - 12th grade
7,2016-08-31,https://www.lyceechicago.org/calendar/school-opens-for-preschool,8:30 am to 11:30 am,School Opens for Preschool
8,2016-09-01,https://www.lyceechicago.org/calendar/parent-association-welcome-coffee,8:15 am to 10:00 am,Parent Association Welcome Coffee
9,2016-09-05,https://www.lyceechicago.org/calendar/labor-day-school-closed-0,(All day),Labor Day - School Closed
10,2016-09-09,https://www.lyceechicago.org/calendar/auditions-for-lfc-production-of-les-miserables,3:45 pm,Auditions for LFC Production of Les Misérables
11,2016-09-10,https://www.lyceechicago.org/calendar/auditions-for-lfc-production-of-les-miserables-0,12:00 pm,Auditions for LFC Production of Les Misérables
12,2016-09-26,https://www.lyceechicago.org/calendar/international-college-fair-0,6:30 pm,International College Fair
13,2016-10-17,https://www.lyceechicago.org/calendar/fall-recess-school-closed,(All day),Fall Recess - School closed
14,2016-10-18,https://www.lyceechicago.org/calendar/fall-recess-school-closed,(All day),Fall Recess - School closed
15,2016-10-19,https://www.lyceechicago.org/calendar/fall-recess-school-closed,(All day),Fall Recess - School closed
16,2016-10-20,https://www.lyceechicago.org/calendar/fall-recess-school-closed,(All day),Fall Recess - School closed
17,2016-10-21,https://www.lyceechicago.org/calendar/fall-recess-school-closed,(All day),Fall Recess - School closed
18,2016-10-24,https://www.lyceechicago.org/calendar/in-service-day-for-staff-no-school-for-students-0,(All day),In Service Day for Staff - No School for students
19,2016-11-05,https://www.lyceechicago.org/calendar/open-house,10:00 am to 1:00 pm,Open House
20,2016-11-11,https://www.lyceechicago.org/calendar/parent-teacher-conferences-no-school-for-students-1,(All day),Parent - teacher Conferences - No school for students
21,2016-11-23,https://www.lyceechicago.org/calendar/thanksgiving-school-closed-1,(All day),Thanksgiving - School closed
22,2016-11-24,https://www.lyceechicago.org/calendar/thanksgiving-school-closed-1,(All day),Thanksgiving - School closed
23,2016-11-25,https://www.lyceechicago.org/calendar/thanksgiving-school-closed-1,(All day),Thanksgiving - School closed
24,2016-12-02,https://www.lyceechicago.org/calendar/lycee-french-market-2,7:00 pm to 4:00 pm,Lycée French Market
25,2016-12-03,https://www.lyceechicago.org/calendar/lycee-french-market-2,7:00 pm to 4:00 pm,Lycée French Market
26,2016-12-04,https://www.lyceechicago.org/calendar/lycee-french-market-2,7:00 pm to 4:00 pm,Lycée French Market
27,2016-12-19,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
28,2016-12-20,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
29,2016-12-21,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
30,2016-12-22,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
31,2016-12-23,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
32,2016-12-24,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
33,2016-12-25,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
34,2016-12-26,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
35,2016-12-27,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
36,2016-12-28,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
37,2016-12-29,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
38,2016-12-30,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
39,2016-12-31,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
40,2017-01-01,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
41,2017-01-02,https://www.lyceechicago.org/calendar/holiday-recess-school-closed-1,(All day),Holiday Recess - School closed
42,2017-01-03,https://www.lyceechicago.org/calendar/school-reopens-5,(All day),School Reopens
43,2017-01-06,https://www.lyceechicago.org/calendar/startup-lycee,8:30 am to 8:00 pm,Start'Up Lycée
44,2017-01-07,https://www.lyceechicago.org/calendar/startup-lycee,8:30 am to 8:00 pm,Start'Up Lycée
45,2017-01-16,https://www.lyceechicago.org/calendar/martin-luther-king-day-school-closed-1,(All day),Martin Luther King Day - School Closed
46,2017-02-16,https://www.lyceechicago.org/calendar/in-service-day-for-staff-no-school-for-students-1,(All day),In Service Day for Staff - No School for students
47,2017-02-17,https://www.lyceechicago.org/calendar/winter-recess-school-closed,(All day),Winter Recess - School Closed
48,2017-02-18,https://www.lyceechicago.org/calendar/winter-recess-school-closed,(All day),Winter Recess - School Closed
49,2017-02-19,https://www.lyceechicago.org/calendar/winter-recess-school-closed,(All day),Winter Recess - School Closed
50,2017-02-20,https://www.lyceechicago.org/calendar/winter-recess-school-closed,(All day),Winter Recess - School Closed
51,2017-02-21,https://www.lyceechicago.org/calendar/winter-recess-school-closed,(All day),Winter Recess - School Closed
52,2017-02-22,https://www.lyceechicago.org/calendar/winter-recess-school-closed,(All day),Winter Recess - School Closed
53,2017-02-23,https://www.lyceechicago.org/calendar/winter-recess-school-closed,(All day),Winter Recess - School Closed
54,2017-02-24,https://www.lyceechicago.org/calendar/winter-recess-school-closed,(All day),Winter Recess - School Closed
55,2017-03-20,https://www.lyceechicago.org/calendar/parent-teacher-conferences-no-school-for-students-2,(All day),Parent –Teacher Conferences - No School for Students
56,2017-04-17,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
57,2017-04-18,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
58,2017-04-19,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
59,2017-04-20,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
60,2017-04-21,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
61,2017-04-22,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
62,2017-04-23,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
63,2017-04-24,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
64,2017-04-25,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
65,2017-04-26,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
66,2017-04-27,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
67,2017-04-28,https://www.lyceechicago.org/calendar/spring-recess-1,(All day),Spring Recess
68,2017-05-03,https://www.lyceechicago.org/calendar/science-fair-and-maker-faire,1:00 pm,Science Fair and Maker Faire
69,2017-05-13,https://www.lyceechicago.org/calendar/les-miserables-saturday-a-lycee-francais-de-chicago-extracurricular-production,4:00 pm to 6:15 pm,Les Misérables - Saturday Performance: A Lycée Français de Chicago Extracurricular production
70,2017-05-14,https://www.lyceechicago.org/calendar/les-miserables-sunday-performance-a-lycee-francais-de-chicago-extracurricular-production,1:00 pm to 3:00 pm,Les Misérables - Sunday Performance: A Lycée Français de Chicago Extracurricular production
71,2017-05-21,https://www.lyceechicago.org/calendar/4th-annual-lfc-golf-outing,(All day),4th Annual LFC Golf Outing
72,2017-05-29,https://www.lyceechicago.org/calendar/memorial-day-school-closed-1,(All day),Memorial Day – School Closed
73,2017-06-16,https://www.lyceechicago.org/calendar/end-of-school-year-half-day-1,8:15 am to 12:00 pm,End of School Year - Half Day
74,2017-06-19,https://www.lyceechicago.org/calendar/in-service-day-for-staff-school-closed-0,(All day),In Service Day for Staff - School Closed
75,2017-06-20,https://www.lyceechicago.org/calendar/in-service-day-for-staff-school-closed-1,(All day),In Service Day for Staff - School Closed
